formation_id,tag,formation_name,hq_region,formation_state_regions,current_2d4_status,current_2d4_name,research_recommendation,proposed_historical_name,name_variants,birth_date,birth_date_precision,birth_place,birth_polity,v3_birth_state,death_date,death_date_precision,rank_status_1776,office_on_1776_01_01,office_start,office_start_precision,office_end,office_end_precision,army_theatre_1776,historical_culture_identity,v3_culture_recommendation,culture_confidence,historical_religion,v3_religion_recommendation,religion_confidence,caste_social_origin,interest_group_mapping,ideology_recommendation,documented_traits_only,portrait_or_visual_reference,mod_character_template_dna_status,probable_2d4_errors,reference_date_confidence,decision_notes,source_1_url,source_2_url,source_3_url,repo_source_url
GEN1776-118,PAN,FaujiKhas,region_north_india,STATE_PUNJAB,NAMED_DEFAULT_TEMPLATE,Jassa Singh Ahluwalia,RETAIN_NAMED_HISTORICAL_GENERAL,Jassa Singh Ahluwalia,Jassā Siṅgh Āhlūvālīā; Jassa Singh Ahluvalia,1718-05-03,exact_day_high_confidence,"Ahlu village, near Lahore","Mughal Empire, Lahore Subah",STATE_PUNJAB,1783-10-20,exact_day_high_confidence,Sardar; chief of Ahluwalia misl; senior commander of Dal Khalsa,Ahluwalia misl chief and leading Dal Khalsa commander within Sikh confederate structure,1748,year_for_Dal_Khalsa_command,1783-10-20,death,"Punjab; misl/Dal Khalsa confederate forces, not a centralized national standing army",Punjabi Sikh,panjabi/punjabi token — verify exact mod token,HIGH,Sikh,sikh,HIGH,Sikh sardar; son of Badar Singh; no caste assignment needed for gameplay,ig_armed_forces primary; ig_landowners secondary only if desired for misl aristocracy,NONE — no modern ideology mapping justified,Courageous confederate military leader; organizer; religiously respected. Do not infer modern nationalist traits.,Use authenticated/recognized Sikh portrait tradition cautiously; many images are later idealizations. Prioritize identity markers and period Sikh sardar dress over random DNA.,Current 2D-4 direct character uses template=default; no birth/culture/religion/DNA pinned in formation file.,Age procedural/uncontrolled; origin absent; DNA/appearance procedural; culture/religion may happen to match PAN but are not explicitly controlled.,HIGH,"Excellent historical match, but label as confederate Sikh command. FaujiKhas is an abstraction; do not imply a unified Punjabi national army.",https://eos.learnpunjabi.org/JASSA%20SINGH%20AHLUVALIA%20%281718-1783%29.html,https://eos.learnpunjabi.org/MISLS.html,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-119,PAN,FaujiAin,region_north_india,STATE_PUNJAB,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,,KEEP_PROCEDURAL_COLLECTIVE_STRUCTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH,A second individual commander risks falsely centralizing the Sikh misls. Keep procedural/collective unless a formation-specific misl identity is added later.,https://eos.learnpunjabi.org/MISLS.html,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-120,BIC,cleanup2d3b_bic_land_2,region_south_india,STATE_CIRCARS; conscripts STATE_EAST_BENGAL,PROCEDURAL_ALLOWED,,ADD_NAMED_HISTORICAL_GENERAL,Sir Robert Fletcher,Robert Fletcher; Brigadier-General Sir Robert Fletcher,c.1738,circa_year,Unknown in sources consulted,Great Britain (precise birthplace unresolved),UNRESOLVED_OUTSIDE_SOUTH_ASIA,1776-12-24,exact_day_secondary; BL confirms 1776,"Brigadier-General; Commander-in-Chief, Madras Army",Commander-in-Chief of the East India Company Madras Army,1775,year_high_confidence,1776-12-24,death,Madras Presidency / Coromandel / Northern Circars,"British; probably English, exact birthplace unresolved",english only after birthplace/family verification; never Indian culture,MEDIUM,Protestant probable; not directly established by priority source pass,protestant provisional,LOW-MEDIUM,British officer and politician; East India Company military elite,ig_armed_forces,NONE,Experienced commander; controversial Company officer. Avoid turning political controversy into an unsupported personality trait.,Contemporary portrait dated roughly 1774–76 is reported in later references; verify asset provenance before DNA reconstruction.,Formation currently receives a procedural default-template general; no dedicated Fletcher template/DNA found in the audited formation file.,Entire identity is procedural at present; assigning Indian culture/religion would be incorrect.,HIGH,Strong replacement for one Circars/Madras formation: BL India Office catalogue explicitly lists C-in-C Madras 1775–76.,https://searcharchives.bl.uk/?f%5Brelated_names_ssim%5D%5B%5D=Fletcher%2C+Robert%2C+army+officer+and+politician%2C+c+1738-1776&search_field=all_fields,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-121,BIC,cleanup2d3b_bic_land_3,region_south_india,STATE_CIRCARS,PROCEDURAL_ALLOWED,,ADD_NAMED_HISTORICAL_GENERAL,James Stuart,Colonel James Stuart; later Brigadier-General / Major-General James Stuart (d. 1793); NOT James Stuart (1741–1815),,unknown_18th_century,Unknown in sources consulted,"Great Britain; family was Scottish, precise birthplace unresolved",UNRESOLVED_OUTSIDE_SOUTH_ASIA,1793-02-02,exact_day_high_confidence,"Colonel, East India Company service",Second in command on the Coromandel Coast,1775,year_high_confidence,1776-12,month; succeeded Fletcher as C-in-C after Fletcher death,Coromandel Coast / Madras Presidency,British; Scottish family identity,scottish probable; verify exact personal birthplace before hardcoding,MEDIUM,Protestant probable; not directly established in DNB entry,protestant provisional,LOW-MEDIUM,British army officer; brother of Andrew Stuart,ig_armed_forces,NONE,Experienced combat officer; distinguished at Havana; later able line commander. Do not import later Madras political conflict as ideology.,"George Romney portrait exists for the correct James Stuart (d.1793); use that identity, not the distinct 1741–1815 general.",Formation currently procedural; no dedicated Stuart character in audited formation block.,Current procedural identity has no historical age/culture/religion/DNA. High risk of conflating him with James Stuart (1741–1815).,HIGH,Very strong second Madras candidate exactly in post from 1775. Explicit disambiguation is essential.,https://en.wikisource.org/wiki/Stuart%2C_James_%28d.1793%29_%28DNB00%29,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-122,BIC,Bengal_Army,region_north_india,STATE_AWADH,NAMED_DEFAULT_TEMPLATE,John Clavering,RETAIN_NAMED_HISTORICAL_GENERAL,Sir John Clavering,John Clavering; Lieutenant-General Sir John Clavering KB,1722,year_only; baptised 1722-08-31 at Lanchester,"Lanchester, County Durham",Kingdom of Great Britain,UNRESOLVED_OUTSIDE_SOUTH_ASIA,1777-08-30,exact_day_high_confidence,Lieutenant-General,Commander of the Bengal Army; member of the Supreme Council of Bengal,1774-10,month_high_confidence_arrival,1777-08-30,death,Bengal Presidency / northern Company army administration,English,english,HIGH,Church of England / Protestant probable,protestant,MEDIUM-HIGH,English baronet family; professional army officer,ig_armed_forces,NONE; political opposition to Hastings is not a V3 ideology,Experienced Seven Years War commander; straightforward and forceful. Avoid caricaturing council disputes.,"British lieutenant-general / KB portrait or engraving; verify sitter provenance. Uniform should be British, not Company-Indian.",Current 2D-4 direct character uses template=default; no biographical fields or DNA pinned in formation file.,Age procedural; birthplace/origin absent; DNA procedural; any Indian culture/religion would be wrong. Baptism date must not be silently treated as birth date.,HIGH,Retain. His Bengal Army command is an exceptionally strong reference-date match.,https://en.wikisource.org/wiki/Dictionary_of_National_Biography%2C_1885-1900/Clavering%2C_John,https://searcharchives.bl.uk/catalog/040-001116470,https://reed.dur.ac.uk/xtf/view?docId=ark%2F32150_s1kw52j8058.xml,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-123,HYD,sarf_e_khas,region_south_india,STATE_HYDERABAD; STATE_CENTRAL_PROVINCES,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_REFERENCE_DATE_UNCERTAIN,,Reserve candidate: Ibrahim Beg Dhonsa / Ibrahim Beg,,,,,,,,"Documented Nizam commander in 1775 and again in later 1776–77 operations, exact 1776-01-01 command not secure",,,,,,Hyderabad / Berar / Mysore frontier,Unresolved,,,Muslim probable,,,,ig_armed_forces if later confirmed,NONE,,,,,MEDIUM-LOW,Do not force Ibrahim Beg into the 1 Jan 1776 slot: evidence brackets him around the date but does not securely prove the exact office on the reference day.,,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-124,AWA,OudhRoyalArmy,region_north_india,STATE_AWADH,PROCEDURAL_ALLOWED,,KEEP_PROCEDURAL_NO_INDEPENDENT_COMMANDER_SECURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDIUM-HIGH,"Asaf-ud-Daula was the sovereign and bore military titles, but a ruler is not automatically an independent field general. No separate 1 Jan 1776 army commander was secured in priority-source research; Company brigades also complicated Awadh military autonomy.",,,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-125,MARATH,cleanup2d3b_marath_land_2,region_south_india,STATE_BOMBAY; conscripts across AGRA/BOMBAY/BUNDELKHAND/MALWA/CENTRAL_PROVINCES,NAMED_DEFAULT_TEMPLATE,Haripant Phadke,RETAIN_NAMED_HISTORICAL_GENERAL,Haripant Phadke,Haripant Phadke; Hari Pant Phadke; Haripant Fadke,c.1729,circa_year; exact date explicitly unknown,"Exact birthplace not securely established; family originally from Guhagar, Konkan",Maratha realm (probable),STATE_BOMBAY provisional if Guhagar association is used,1794-06-20,exact_day_high_confidence,Senior Maratha commander and statesman; Barbhai leader,Senior military-political servant of the Peshwa/Barbhai regency; active in pursuit and containment of Raghunathrao,1773-1774,period; rise during Barbhai crisis,1794-06-20,death,Pune/Peshwa forces; Gujarat–Deccan operations around Raghunathrao; confederate context,Marathi,marathi,HIGH,Hindu,hindu,HIGH,Family with clerical/moneylending service background; do not add caste without stronger evidence,ig_armed_forces primary,NONE,"State-minded, selfless, fearless, good judge of men, strong capacity for coalition/administrative support — all explicitly praised in Marathi Vishwakosh.",No secure contemporary life portrait established in this pass; use generic historically grounded Maratha officer appearance rather than invented distinctive DNA.,Current 2D-4 direct character uses template=default; no birth/culture/religion/DNA pinned.,Age and appearance procedural; exact birthplace currently absent; culture/religion may match country but are not explicit.,HIGH,"Retain, with explicit confederal/Peshwa context rather than “national Maratha general”.",https://vishwakosh.marathi.gov.in/27523/,https://vishwakosh.marathi.gov.in/29242/,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-126,MARATH,cleanup2d3b_marath_land_1,region_north_india,STATE_AGRA,NAMED_DEFAULT_TEMPLATE,Tukoji Holkar,RETAIN_NAMED_REVIEW_FORMATION_MAPPING,Tukoji Rao Holkar I,Tukoji Holkar; Tukojirao Holkar; Tukoji Rao I Holkar,1723-06-26,claimed_exact_day_but_source_conflict; same secondary page also says 1725; verify before hardcoding,Unknown in sources consulted,"Maratha sphere, exact locality unresolved",UNRESOLVED,1797-08-15,exact_day_high_confidence,Senapati / chief of Holkar military forces under Ahilyabai Holkar,Military head of the Holkar house; external campaigns entrusted to him while Ahilyabai held civil authority,1767,year_high_confidence,1795,became sole ruler after Ahilyabai; continued military role,Holkar/Maratha confederate forces; returned south in 1774 and was on Peshwa campaigns through 1778,Marathi / Holkar Maratha-Dhangar milieu,marathi,HIGH,Hindu,hindu,HIGH,Holkar house; Marathi Vishwakosh identifies family origin as Dhangar,ig_armed_forces primary; ig_landowners secondary,NONE,Experienced campaign commander; loyal military counterpart to Ahilyabai. Avoid inventing a centralized-state ideology.,Known later portrait tradition exists; use cautiously because several depictions are posthumous.,Current 2D-4 direct character uses template=default; no historical DNA or dates pinned.,"Age/DNA procedural; birthplace absent. Formation mapping is questionable: source evidence places him back in the south from 1774, whereas current formation is STATE_AGRA.",HIGH_PERSON / MEDIUM_FORMATION_ASSIGNMENT,"The person is admissible, but the north/Agra attachment deserves re-evaluation during implementation; do not silently treat Holkar forces as a unitary Peshwa standing army.",https://vishwakosh.marathi.gov.in/20242/,https://vishwakosh.marathi.gov.in/29242/,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
GEN1776-127,GWA,GwaliorArmy,region_north_india,STATE_MALWA; conscripts STATE_RAJPUTANA/STATE_MALWA,NAMED_DEFAULT_TEMPLATE,Mahadji Shinde,RETAIN_NAMED_HISTORICAL_GENERAL,Mahadji Shinde,Mahadji Shinde; Mahadji Scindia; Mahadaji Sindhia,c.1727,year_uncertain; Maharashtra state encyclopedia gives ?1727; reject false exact 1730 day without stronger evidence,"Exact birthplace not explicitly secured; family seat Kanherkhed, Satara district",Maratha realm,STATE_BOMBAY provisional for Satara/Kanherkhed,1794-02-12,exact_day_high_confidence,Maratha sardar; head of Shinde/Scindia power,Senior Shinde chief within Maratha confederacy; northern/Malwa military-political leader aligned with Barbhai after initial hesitation,1768,year_sardarship,1794-02-12,death,Malwa / northern India / Maratha confederate politics; Gwalior tag is a useful abstraction but later institutional form should not be back-projected,Marathi,marathi,HIGH,Hindu; documented Krishna devotion and broad respect for Hindu/Muslim holy men,hindu,HIGH,Shinde house; mother Chima Bai described as Rajput; avoid simplistic caste gameplay assignment,ig_armed_forces primary; ig_landowners secondary,NONE,Battle-hardened; disciplined; self-respecting; tactically prudent about when to fight or withdraw; wounded at Panipat.,James Wales oil portrait tradition provides a strong late-18th-century visual reference; use identifiable white robe/turban/jewelry rather than random DNA.,Current 2D-4 direct character uses template=default; no birth/culture/religion/DNA pinned.,Age and DNA procedural; current runtime may use an anachronistically exact 1730 birth if inferred elsewhere; origin absent. Gwalior institutional framing may be too centralized for 1776.,HIGH,Retain. Use Shinde/Scindia confederal chief framing; do not describe a later European-drilled Gwalior army as already fully formed in 1776.,https://vishwakosh.marathi.gov.in/33475/,https://commons.wikimedia.org/wiki/File:Mahadaji_Sindhia.jpg,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/05_military_formations_india.txt
