record_id,tag,country_name,formation,hq_region,reference_date,current_general,candidate_general,first_name,last_name,historical_birth_date,birth_date_precision,historical_birth_place,historical_birth_country_or_polity,mapped_v3_birth_state,death_date,military_rank_1776,military_role_1776,command_or_office_start,command_or_office_end,active_on_1776_01_01,mapping_type,identity_confidence,formation_mapping_confidence,culture_recommendation,religion_recommendation,interest_group_recommendation,ideology_recommendation,trait_recommendations,existing_mod_character,existing_mod_template,existing_mod_dna,dna_id,portrait_reference_available,implementation_decision,source_1,source_2,source_3,notes
GEN1776-015,FRA,France,cleanup2d3b_fra_land_1,region_western_europe,1776-01-01,PROCEDURAL cleanup2d4_general_015,"Claude-Louis-Robert, comte de Saint-Germain",Claude-Louis-Robert,de Saint-Germain,1707-04-15,DAY,"Vertamboz, Franche-Comté (actuel Jura)",Royaume de France,STATE_FRANCHE_COMTE,1778-01-15,Lieutenant-général (carrière française); ancien field marshal danois,Secrétaire d'État de la Guerre; autorité supérieure sur l'armée française,1775-10 (documenté en fonction au plus tard le 1775-11-04),1777-09,YES,HIGHER_COMMAND_ABSTRACTION,HIGH,MEDIUM,cu:french,rel:catholic,ig_armed_forces,ideology_reformer,réformateur militaire; administrateur expérimenté; méticuleux (choisir des clés V3 valides à l'implémentation),NO,NO,NO,,YES — gravures/portraits historiques à sourcer précisément avant DNA,IMPLEMENT_HISTORICAL,"FR-SG-1 | CCFr/BnF — lettre de Claude-Louis de Saint-Germain, secrétaire d'État de la Guerre, 4 novembre 1775; notice biographique: 15 avril 1707, Vertamboz – 15 janvier 1778, Paris","FR-SG-2 | CCFr/BnF — lettre de Claude-Louis de Saint-Germain, secrétaire d'État de la Guerre, 7 juin 1776",MOD-3 | GitHub cleanup-post-release — common/character_templates/ + common/history/characters/ + repo-wide surname searches,Meilleur candidat pour la grande formation nationale abstraite. Le poste est déjà exercé avant la date de référence; aucune extrapolation depuis une nomination postérieure.
GEN1776-016,FRA,France,cleanup2d3b_fra_land_2,region_western_europe,1776-01-01,PROCEDURAL cleanup2d4_general_016,Louis-Georges-Érasme de Contades,Louis-Georges-Érasme,de Contades,1704-10-11,DAY,"Château de Montgeoffroy, Mazé, Anjou",Royaume de France,STATE_LOIRE (mapping géographique probable; vérifier la clé vanilla 1.13 si absente de l'index du fork),1795-01-19,Maréchal de France,Commandant en chef en Alsace,1762,1788-05,YES,FORMATION_COMMAND,HIGH,HIGH,cu:french,rel:catholic,ig_armed_forces,ideology_royalist,commandant expérimenté; autorité régionale; réservé/discipliné,NO,NO,NO,,YES — portraits/gravures du XVIIIe siècle signalés; référence précise à fixer avant DNA,IMPLEMENT_HISTORICAL,"FR-CO-1 | Fédération des Sociétés d'Histoire et d'Archéologie d'Alsace — Louis-Georges-Érasme de Contades; commandant en chef en Alsace à partir de 1762, fonction tenue environ 26 ans",FR-CO-2 | État militaire de France / notice historique Contades — maréchal de France; commandement supérieur d'Alsace jusqu'en 1788,MOD-1 | GitHub cleanup-post-release — common/history/military_formations/00_military_formations_europe.txt,Formation ancrée en Alsace-Lorraine; Contades est un mapping direct nettement supérieur à Rochambeau. Rochambeau reste historiquement actif comme inspecteur général mais son gouvernement de Villefranche n'est daté que '1776' sans preuve d'une prise de fonction avant le 1er janvier.
GEN1776-017,FRA,France,cleanup2d3b_fra_land_3,region_southern_europe,1776-01-01,PROCEDURAL cleanup2d4_general_017,"Louis-François-Armand de Vignerot du Plessis, duc de Richelieu",Louis-François-Armand,de Vignerot du Plessis de Richelieu,1696-03-13,DAY,Paris,Royaume de France,STATE_ILE_DE_FRANCE,1788-08-08,Maréchal de France,Gouverneur de Guyenne et Gascogne,1755,1788,YES,MILITARY_OFFICEHOLDER,HIGH,MEDIUM,cu:french,rel:catholic,ig_armed_forces,ideology_royalist,commandant vétéran; aristocrate de cour; imperious,NO,NO,NO,,YES — nombreux portraits et gravures contemporains,IMPLEMENT_HISTORICAL,"FR-RI-1 | BnF, notice d'autorité — Louis-François-Armand de Vignerot du Plessis, duc de Richelieu: 13 mars 1696 – 8 août 1788","FR-RI-2 | Larousse, notice Richelieu — maréchal de France; gouverneur de Guyenne et Gascogne à partir de 1755",MOD-1 | GitHub cleanup-post-release — common/history/military_formations/00_military_formations_europe.txt,"La formation contient un fort noyau en Aquitaine. Le gouvernorat de Guyenne/Gascogne est un lien régional défendable, mais la formation V3 reste une abstraction plus large qu'un commandement d'armée d'Ancien Régime."
GEN1776-018,FRA,France,cleanup2d3b_fra_land_4,region_central_america,1776-01-01,PROCEDURAL cleanup2d4_general_018,Victor-Thérèse Charpentier d'Ennery,Victor-Thérèse,Charpentier d'Ennery,1732-03-24,DAY,Paris,Royaume de France,STATE_ILE_DE_FRANCE,1776-12-13,Maréchal des camps et armées du roi,Gouverneur-lieutenant général des Îles du Vent / Saint-Domingue; inspecteur général d'infanterie et directeur général des forces coloniales,1775 (fonctions documentées le 1775-10-23),1776-12-13,YES,THEATRE_COMMAND,HIGH,HIGH,cu:french,rel:catholic,ig_armed_forces,ideology_royalist,administrateur colonial; organisateur; logistique/fortifications,NO,NO,NO,,PARTIAL — monument funéraire documenté; aucun portrait facial contemporain sûr identifié dans l'audit,IMPLEMENT_HISTORICAL,"FR-EN-1 | Ordonnance imprimée à Port-au-Prince, 23 octobre 1775 — d'Ennery y est qualifié maréchal des camps et armées du roi, inspecteur général d'infanterie, directeur général des troupes/fortifications/artillerie/milices des colonies et gouverneur-lieutenant général","FR-EN-2 | Commune d'Ennery, notice Victor-Thérèse Charpentier d'Ennery — né à Paris le 24 mars 1732; mort le 13 décembre 1776","FR-EN-3 | Ministère français de la Culture, base Palissy — monument funéraire de Victor-Thérèse Charpentier d'Ennery (1732–1776)",La preuve clé est une ordonnance du 23 octobre 1775 énumérant explicitement ses responsabilités militaires coloniales; activité certaine au 1er janvier 1776.
GEN1776-019,GBR,Great Britain,cleanup2d3b_gbr_land_2,region_atlantic_coast,1776-01-01,William Howe (cleanup2d4_general_019),"William Howe, 5th Viscount Howe",William,Howe,1729-08-10,DAY,UNKNOWN — aucune localité exacte n'a été promue sans source institutionnelle vérifiée,Kingdom of Great Britain,,1814-07-12,Lieutenant-general / rang local supérieur en Amérique,Commander-in-Chief des forces britanniques en Amérique du Nord,1775-10-10,1778,YES,THEATRE_COMMAND,HIGH,HIGH,cu:british,rel:protestant,ig_armed_forces,ideology_royalist,commandant expérimenté; prudent; offensive planner à calibrer,YES — direct create_character dans le fichier de formations,NO,NO,,"YES — National Portrait Gallery, gravure 1778",KEEP_EXISTING_HISTORICAL,"GB-HO-1 | Dictionary of National Biography — William Howe: né 10 août 1729; commandement en Amérique, succède à Thomas Gage le 10 octobre 1775; rang local supérieur en Amérique","GB-HO-2 | National Portrait Gallery — William Howe, 5th Viscount Howe (1729–1814), portrait gravé publié en 1778",MOD-1 | GitHub cleanup-post-release — common/history/military_formations/00_military_formations_europe.txt,Choix de CLEANUP-2D-4 confirmé. Son commandement commence avant le 1er janvier 1776. Ne pas inventer une localité de naissance dans les données de personnage.
GEN1776-020,GBR,Great Britain,Home_Army,region_western_europe,1776-01-01,PROCEDURAL cleanup2d4_general_020,Jeffery Amherst,Jeffery,Amherst,1717-01-29,DAY,"Riverhead, Sevenoaks, Kent",Kingdom of Great Britain,STATE_HOME_COUNTIES,1797-08-03,Lieutenant-general,Lieutenant-General of the Ordnance; principal conseiller militaire du roi en l'absence d'un Commander-in-Chief permanent,1772,"1782 (office d'Ordnance / responsabilités supérieures, selon la périodisation retenue)",YES,HIGHER_COMMAND_ABSTRACTION,HIGH,MEDIUM,cu:british,rel:protestant,ig_armed_forces,ideology_royalist,commandant vétéran; organisateur; prudent,NO,NO,NO,,"YES — NPG, mezzotinte de 1766 d'après Reynolds",IMPLEMENT_HISTORICAL,"GB-AM-1 | Dictionary of Canadian Biography — Jeffery Amherst: né 29 janvier 1717 à Riverhead, Sevenoaks; mort 3 août 1797; lieutenant-general of the Ordnance dès 1772 et principal conseiller militaire du roi en l'absence d'un C-in-C","GB-AM-2 | National Portrait Gallery — portrait de Jeffery Amherst, mezzotinte de 1766 d'après Reynolds",MOD-3 | GitHub cleanup-post-release — common/character_templates/ + common/history/characters/ + repo-wide surname searches,"Ne pas l'appeler 'Baron Amherst' au 1er janvier: la pairie date de mai 1776. Le mapping est supérieur/administratif, pas un commandement direct de la Home Army telle que représentée par V3."
GEN1776-021,GBR,Great Britain,cleanup2d3b_gbr_land_4,region_southern_europe,1776-01-01,PROCEDURAL cleanup2d4_general_021,George Augustus Eliott,George Augustus,Eliott,1717-12-25,DAY,"Stobs, Roxburghshire, Scotland",Kingdom of Great Britain,STATE_LOWLANDS,1790-07-06,Lieutenant-general,Governor and commander of Gibraltar,1775,1790,YES,THEATRE_COMMAND,HIGH,HIGH,cu:scottish,rel:protestant,ig_armed_forces,ideology_royalist,défenseur de forteresse; artillerie/ingénierie; discipliné,NO,NO,NO,,YES — Royal Museums Greenwich / portraits et médailles,IMPLEMENT_HISTORICAL,"GB-EL-1 | Royal Museums Greenwich, archives — George Augustus Eliott: commandant en chef des forces en Irlande en 1774; nommé gouverneur de Gibraltar l'année suivante","GB-EL-2 | Dictionary of National Biography / Encyclopaedia Britannica — né à Stobs, Roxburghshire, 25 décembre 1717; lieutenant-general; gouverneur de Gibraltar à partir de 1775; mort 6 juillet 1790",MOD-1 | GitHub cleanup-post-release — common/history/military_formations/00_military_formations_europe.txt,Ne pas utiliser le titre Baron Heathfield dans le setup 1776: il est postérieur. Le lien Gibraltar ↔ HQ Europe méridionale est direct.
GEN1776-022,GBR,Great Britain,cleanup2d3b_gbr_land_3,region_central_america,1776-01-01,PROCEDURAL cleanup2d4_general_022,Montfort Browne,Montfort,Browne,,UNKNOWN,UNKNOWN,UNKNOWN,,,Lieutenant à demi-solde (ancien 35th Foot); gouverneur royal — ne pas rétrograder/élever artificiellement au rang de brigadier,Governor of the Bahamas / autorité de défense de New Providence,1774,1776-03-04 (fin du contrôle effectif à Nassau; gouvernorat nominal parfois listé plus longtemps),YES,MILITARY_OFFICEHOLDER,MEDIUM,HIGH,cu:british (LOW confidence),rel:protestant (LOW confidence),ig_armed_forces,ideology_royalist,loyaliste; administrateur colonial; éviter les traits de général de haut rang non prouvés,NO,NO,NO,,NO SECURE PORTRAIT FOUND,IMPLEMENT_HISTORICAL,"GB-BR-1 | University of New Brunswick, Loyalist Collection — Montfort Browne: lieutenant-gouverneur de West Florida 1766–1769; gouverneur des Bahamas 1774–1780",GB-BR-2 | Naval Documents of the American Revolution — journal du 4 mars 1776: Governor Montfort Browne présent à Nassau lors du raid,"GB-BR-3 | Founders Online / Washington Papers, note éditoriale — Browne avait quitté le 35th Foot comme lieutenant à demi-solde; son grade de brigadier n'est obtenu qu'en 1777","Très bon mapping géographique car la formation contient STATE_BAHAMAS. État civil incomplet: volontairement laissé UNKNOWN. Le grade de brigadier ne doit pas être daté de 1776-01-01, car il est postérieur."
GEN1776-023,GBR,Great Britain,cleanup2d3b_gbr_land_5,region_south_india,1776-01-01,PROCEDURAL cleanup2d4_general_023,John Clavering,John,Clavering,1722,YEAR,UNKNOWN — le siège familial de Greencroft (County Durham) n'est pas promu comme lieu de naissance sans preuve explicite,Kingdom of Great Britain,,1777-08-30,Lieutenant-general,Commander-in-Chief in India; membre du Supreme Council of Bengal,1774,1777-08-30,YES,THEATRE_COMMAND,HIGH,HIGH,cu:british,rel:protestant,ig_armed_forces,ideology_royalist,commandant de théâtre; administrateur; expérimenté,NO,NO,NO,,UNKNOWN — aucun portrait institutionnel sûr identifié dans l'audit,IMPLEMENT_HISTORICAL,GB-CL-1 | Dictionary of Indian Biography — John Clavering: né en 1722; lieutenant-general en 1770; envoyé en Inde en 1774 comme Commander-in-Chief et membre du Supreme Council; mort 30 août 1777,"GB-CL-2 | Dictionary of National Biography — John Clavering (1722–1777), officier britannique et membre du Supreme Council of Bengal",MOD-3 | GitHub cleanup-post-release — common/character_templates/ + common/history/characters/ + repo-wide surname searches,Ne pas utiliser le titre K.B. au 1er janvier: son admission à l'ordre du Bain date du 9 novembre 1776. Naissance conservée à YEAR uniquement.
GEN1776-046,LUX,Luxembourg,Luxemburger_Miliz,region_western_europe,1776-01-01,PROCEDURAL cleanup2d4_general_046,,,,,UNKNOWN,,,,,,,,,N/A,NO_DEFENSIBLE_MAPPING,N/A,LOW,,,,,,NO CANDIDATE,NO CANDIDATE,NO CANDIDATE,,N/A,KEEP_PROCEDURAL,LU-1 | Ville de Luxembourg — histoire de la forteresse: garnison et administration militaire autrichiennes au XVIIIe siècle,"LU-2 | Archives nationales de Luxembourg — cartes de 1776 par l'ingénieur Bergé, premier lieutenant de l'armée autrichienne; présence militaire attestée mais aucun commandant général de la milice identifié","LU-3 | Persée / étude historique — le gouverneur militaire antérieur Wilhelm Reinhard von Neipperg est mort en 1774, donc inéligible au 1er janvier 1776","Présence militaire autrichienne certaine, mais aucun commandant de la formation/milice luxembourgeoise au 1er janvier 1776 n'a été établi avec un niveau de preuve suffisant. Neipperg est mort en 1774. Ne pas dupliquer Ferraris artificiellement."
