country,year,population
Afghanistan,1700,2500000
Afghanistan,1800,3280000
Albania,1700,300000
Albania,1800,400000
Algeria,1700,1750000
Algeria,1800,2500000
Andorra,1800,2654
Angola,1800,1567028
Antigua and Barbuda,1800,37000
Argentina,1700,300000
Argentina,1750,400000
Argentina,1800,534000
Argentina,1830,634000
Argentina,1840,768000
Armenia,1800,413326
Australia,1700,450000
Australia,1800,200000
Australia,1830,330000
Australia,1840,420000
Austria,1700,2500000
Austria,1750,2750000
Austria,1800,3000000
Austria,1830,3538000
Austria,1840,3716000
Azerbaijan,1800,879960
Bahamas,1800,27350
Bahrain,1800,64474
Bangladesh,1700,15789473
Barbados,1800,81729
Belarus,1800,2355081
Belgium,1700,2000000
Belgium,1750,2250000
Belgium,1800,3250000
Belgium,1830,3750000
Belgium,1840,4080000
Belize,1800,25526
Benin,1800,636559
Bhutan,1800,392287
Bolivia,1700,534000
Bolivia,1750,562000
Bolivia,1800,887000
Bosnia and Herzegovina,1800,851806
Botswana,1800,121000
Brazil,1700,1250000
Brazil,1750,1500000
Brazil,1800,2500000
Bulgaria,1700,1250000
Bulgaria,1800,2250000
Burkina Faso,1800,1665421
Burundi,1800,899097
Cambodia,1800,2090000
Cameroon,1800,1860054
Canada,1700,200000
Canada,1750,300000
Canada,1800,500000
Canada,1830,1169000
Canada,1840,1697000
Cape Verde,1700,20000
Cape Verde,1800,55716
Central African Republic,1800,479444
Chad,1800,1432000
Chile,1700,600000
Chile,1750,700000
Chile,1800,771447
Chile,1830,965173
Chile,1840,1180761
China,1700,138000000
China,1750,225000000
China,1800,330000000
China,1830,409000000
China,1840,412000000
Colombia,1700,800000
Colombia,1750,807000
Colombia,1800,1206000
Colombia,1830,1686000
Colombia,1840,1932000
Comoros,1700,30000
Comoros,1750,40000
Comoros,1800,56346
Congo,1800,314465
Costa Rica,1700,19000
Costa Rica,1750,24000
Costa Rica,1800,53000
Costa Rica,1830,78000
Costa Rica,1840,94000
Cote dIvoire,1800,1088530
Croatia,1800,1227886
Cuba,1750,172000
Cuba,1800,272000
Cuba,1830,1008000
Cuba,1840,1008000
Cyprus,1800,184392
Czech Republic,1800,5516349
Democratic Republic of Congo,1800,5163819
Denmark,1700,700000
Denmark,1800,1000000
Denmark,1830,1273000
Denmark,1840,1357000
Djibouti,1800,22848
Dominica,1800,19950
Dominica,1840,22000
Dominican Republic,1700,100000
Dominican Republic,1750,130000
Dominican Republic,1800,150000
Ecuador,1700,500000
Ecuador,1750,500000
Ecuador,1800,500000
Egypt,1700,4500000
Egypt,1800,3500000
Egypt,1840,4476000
El Salvador,1800,248000
Equatorial Guinea,1800,80377
Eritrea,1800,205010
Estonia,1800,334136
Fiji,1700,118803
Fiji,1800,130533
Fiji,1840,140000
Finland,1700,400000
Finland,1800,800000
Finland,1830,1364000
Finland,1840,1441000
France,1700,21471000
France,1750,24000000
France,1800,29000000
France,1830,33300000
France,1840,34900000
Gabon,1800,158227
Gambia,1800,103274
Georgia,1800,1072178
Germany,1700,15000000
Germany,1750,15000000
Germany,1800,18000000
Germany,1830,28045000
Germany,1840,31126000
Ghana,1800,2016034
Greece,1700,1500000
Greece,1800,2250000
Greece,1830,2534000
