file,state,owner,population,groups
00_west_europe.txt,STATE_SVEALAND,SWE,1114208,3
00_west_europe.txt,STATE_GOTALAND,SWE,809308,3
00_west_europe.txt,STATE_SCANIA,SWE,513060,2
00_west_europe.txt,STATE_NORRLAND,SWE,327400,3
00_west_europe.txt,STATE_GOTLAND,SWE,33208,1
00_west_europe.txt,STATE_JUTLAND,DENNOR,548908,1
00_west_europe.txt,STATE_ZEALAND,DENNOR,656796,3
00_west_europe.txt,STATE_WESTERN_NORWAY,DENNOR,546800,1
00_west_europe.txt,STATE_NORTHERN_NORWAY,DENNOR,337260,3
00_west_europe.txt,STATE_EASTERN_NORWAY,DENNOR,352800,2
00_west_europe.txt,STATE_ICELAND,DENNOR,63720,2
00_west_europe.txt,STATE_GREENLAND,DENNOR,4920,3
00_west_europe.txt,STATE_GREENLAND,GR7,6764,2
00_west_europe.txt,STATE_HOME_COUNTIES,GBR,2805996,4
00_west_europe.txt,STATE_LANCASHIRE,GBR,2152804,3
00_west_europe.txt,STATE_WALES,GBR,973196,2
00_west_europe.txt,STATE_YORKSHIRE,GBR,2090592,3
00_west_europe.txt,STATE_HIGHLANDS,GBR,751566,3
00_west_europe.txt,STATE_MIDLANDS,GBR,2580004,3
00_west_europe.txt,STATE_EAST_ANGLIA,GBR,1573208,2
00_west_europe.txt,STATE_WEST_COUNTRY,GBR,1986400,3
00_west_europe.txt,STATE_LOWLANDS,GBR,1637600,4
00_west_europe.txt,STATE_ULSTER,IREK,2351145,13
00_west_europe.txt,STATE_MUNSTER,IREK,2348237,8
00_west_europe.txt,STATE_LEINSTER,IREK,1934493,10
00_west_europe.txt,STATE_CONNAUGHT,IREK,1390481,8
00_west_europe.txt,STATE_ILE_DE_FRANCE,FRA,1882354,3
00_west_europe.txt,STATE_PROVENCE,SAR,172200,2
00_west_europe.txt,STATE_PROVENCE,FRA,1090845,4
00_west_europe.txt,STATE_NORMANDY,FRA,2685132,3
00_west_europe.txt,STATE_LANGUEDOC,FRA,2373128,5
00_west_europe.txt,STATE_RHONE,FRA,2604767,6
00_west_europe.txt,STATE_FRENCH_LOW_COUNTRIES,FRA,1691071,5
00_west_europe.txt,STATE_PICARDY,FRA,1478442,3
00_west_europe.txt,STATE_ALSACE_LORRAINE,FRA,1436128,6
00_west_europe.txt,STATE_POITOU,FRA,1748194,4
