tech_id,category,unlock_type,unlock_id,unlock_name,relationship_type,source_file,source_context,notes
academia,society,modifier,state_education_access_wealth_add,Education Access (Wealth-based),MODIFIER,common/technology/technologies/30_society.txt,222: technology modifier block,state_education_access_wealth_add=0.005
academia,society,technology,empiricism,Empiricism,PREREQUISITE,common/technology/technologies/30_society.txt,367: academia,PREREQUISITE
academia,society,technology,medical_degrees,Medical Degrees,PREREQUISITE,common/technology/technologies/30_society.txt,326: academia,PREREQUISITE
academia,society,technology,romanticism,Romanticism,PREREQUISITE,common/technology/technologies/30_society.txt,134: academia,PREREQUISITE
academia,society,buildings,building_university,University,UNLOCK,common/buildings/07_government.txt,44: academia,BUILDING_REQUIREMENT
academia,society,journal_entries,je_british_dictate_universities,[SCOPE.sCountry('overlord_scope').GetAdjectiveNoFormatting] Dictate: Higher Education,UNLOCK,common/journal_entries/04_india_british_dictates.txt,"348: icon = ""gfx/interface/icons/invention_icons/academia.dds""",JOURNAL_REQUIREMENT
academia,society,laws,law_private_schools,Private Schools,UNLOCK,common/laws/00_education_system.txt,164: academia,LAW_REQUIREMENT
academia,society,laws,law_terakoya,Terakoya,UNLOCK,common/laws/00_education_system.txt,274: academia,LAW_REQUIREMENT
admiralty,military,technology,paddle_steamer,Paddle Steamer,PREREQUISITE,common/technology/technologies/20_military.txt,204: admiralty,PREREQUISITE
admiralty,military,technology,power_of_the_purse,Power of the Purse,PREREQUISITE,common/technology/technologies/20_military.txt,403: admiralty,PREREQUISITE
admiralty,military,buildings,building_naval_administration,Naval Administration,UNLOCK,common/buildings/05_military.txt,106: admiralty,BUILDING_REQUIREMENT
analytical_philosophy,society,modifier,state_literacy_growth_add,Literacy Growth,MODIFIER,common/technology/technologies/30_society.txt,1697: technology modifier block,state_literacy_growth_add=0.0002
analytical_philosophy,society,production_methods,pm_analytical_philosophy_department,Analytical Philosophy Department,UNLOCK,common/production_methods/07_government.txt,237: analytical_philosophy,PM_REQUIREMENT
anarchism,society,technology,political_agitation,Political Agitation,PREREQUISITE,common/technology/technologies/30_society.txt,1439: anarchism,PREREQUISITE
