feature,object_or_system,base_game_1_13,great_wave,other_dlc,gating_method,fallback_without_dlc,modding_risk,notes
Custom Ship Designer,create/edit/delete custom ship_template,NO,YES,NO,GUI HasDlcFeature('ship_designer'),Default/engine templates and normal ship construction remain,HIGH,"The popup data exists in base files, but entry/edit actions are hidden without the DLC feature."
Designer data model,ship_types + ship_modifications + slots + groups,YES,NO,NO,none; base common/ definitions,Fully available,LOW,
Default templates,engine-generated/default ship templates,YES,NO,NO,none,Available,LOW,
Construction orders,ship entities built from a template,YES,NO,NO,none,Available,LOW,
Retrofit,change template / retrofit order,YES,NO,NO,none on core controls,Available,MEDIUM,
Ship sales/purchases,treaty article ship_transfer,NO,YES,NO,potential has_dlc_feature=ep2_content,Article is invisible/unavailable,HIGH,
Flagship core,"assignment, one-country status, event modifiers, AI",YES,NO,NO,assignment GUI/actions are ungated,Available,LOW,
Flagship ornaments,figurehead/signal flag presentation,NO,YES,NO,GUI HasDlcFeature('ship_designer'),No ornament selector,LOW,
Naval buildings,"shipyard, port, naval administration/fortification/logistics",YES,NO,NO,none,Available,LOW,
Naval PMs,"shipbuilding, port, naval doctrine/support PMs",YES,NO,NO,none,Available,LOW,
Naval combat,ship entity battle stats and naval missions,YES,NO,NO,none for core combat,Available,MEDIUM,
Core naval missions,project power/intercept/protect/raid/blockade/bombard,YES,NO,NO,none,Available,LOW,
Piracy missions,"hunt_pirates, piracy, privateer",NO,YES,NO,potential has_dlc_feature=ep2_content,Mission types omitted by potential,MEDIUM,
Ship classes,21 base ship_type definitions,YES,NO,NO,none,Available,LOW,
Naval technologies,technology gates used by types/modifications/buildings/PMs,YES,NO,NO,none,Available,LOW,
AI design,dynamic template scoring,YES,NO,NO,base defines/strategies/data,Uses available templates/data,MEDIUM,
AI shipbuilding,"wanted navy, groups, orders, retrofit",YES,NO,NO,base defines/strategies,Available,MEDIUM,
DLC presentation content,"EP2 entities, art, audio, music and theme",NO,YES,NO,DLC package loading and feature flags,Base presentation assets,LOW,
