object_type,object_id,name,localization_key,description_key,icon,source_file,technology_requirement,parent_category,compatible_hulls,slot_type,effects,construction_cost,maintenance,AI_logic,DLC_requirement,notes
SHIP_TYPE,ship_type_ship_of_the_line,Ship of the Line,ship_type_ship_of_the_line,ship_type_ship_of_the_line_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_ship_of_the_line.dds,common/ship_types/00_ship_types.txt:2,drydocks,ship_group_capital_ships,ship_type_ship_of_the_line,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=1600; ship_crew_max_add=800; ship_movement_speed_add=4.0; ship_supply_capacity_add=40; ship_carrying_capacity_add=0.3; ship_marine_capacity_add=0.2; ship_hull_damage_add=25; ship_crew_damage_add=15; ship_armor_add=12; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=50; ship_screening_add=5; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=25; ship_detection_add=10; ship_blockade_strength_add=100; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.5; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.5; ship_battle_against_ship_type_submarine_accuracy_mult=-0.5; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.3,modification_construction_cost=50; goods_input_hardwood_add=650; goods_input_fabric_add=390,goods_input_grain_add=1; goods_input_hardwood_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=ironclad_tech|monitor_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_monitor,Monitor,ship_type_monitor,ship_type_monitor_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_monitor.dds,common/ship_types/00_ship_types.txt:94,ironclad_tech,ship_group_capital_ships,ship_type_monitor,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=1600; ship_crew_max_add=200; ship_movement_speed_add=4; ship_supply_capacity_add=40; ship_hull_damage_add=60; ship_crew_damage_add=20; ship_armor_add=20; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=30; ship_screening_add=10; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=15; ship_detection_add=20; ship_blockade_strength_add=50; ship_max_distance_to_port_add=1; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.2; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.2; ship_battle_against_ship_type_submarine_accuracy_mult=-0.5; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.1,modification_construction_cost=60; goods_input_iron_add=780; goods_input_engines_add=260,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_iron_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=0.1,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,explicit coastal/distance-to-port behavior; obsolete gates=monitor_tech|dreadnought_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_early_ironclad,Early Ironclad,ship_type_early_ironclad,ship_type_early_ironclad_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_early_ironclad.dds,common/ship_types/00_ship_types.txt:185,ironclad_tech,ship_group_capital_ships,ship_type_early_ironclad,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=2800; ship_crew_max_add=1000; ship_movement_speed_add=4.0; ship_supply_capacity_add=50; ship_carrying_capacity_add=1.5; ship_marine_capacity_add=0.75; ship_hull_damage_add=75; ship_crew_damage_add=35; ship_armor_add=35; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=120; ship_screening_add=11; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=40; ship_detection_add=20; ship_blockade_strength_add=300; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.5; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.5; ship_battle_against_ship_type_submarine_accuracy_mult=-0.5; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.3,modification_construction_cost=100; goods_input_iron_add=2500; goods_input_engines_add=800,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_iron_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=monitor_tech|pre_dreadnought_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_coastal_defense_ship,Coastal Defense Ship,ship_type_coastal_defense_ship,ship_type_coastal_defense_ship_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_coastal_defense_ship.dds,common/ship_types/00_ship_types.txt:278,monitor_tech,ship_group_capital_ships,ship_type_coastal_defense_ship,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=2600; ship_crew_max_add=300; ship_movement_speed_add=4; ship_supply_capacity_add=40; ship_hull_damage_add=70; ship_crew_damage_add=30; ship_armor_add=30; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=60; ship_screening_add=15; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=25; ship_detection_add=30; ship_blockade_strength_add=100; ship_max_distance_to_port_add=1; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.5; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.5; ship_battle_against_ship_type_submarine_accuracy_mult=-0.5; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.3,modification_construction_cost=75; goods_input_iron_add=2500; goods_input_engines_add=800,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_iron_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=0.1,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,explicit coastal/distance-to-port behavior; obsolete gates=pre_dreadnought_tech|dreadnought_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_modern_ironclad,Modern Ironclad,ship_type_modern_ironclad,ship_type_modern_ironclad_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_modern_ironclad.dds,common/ship_types/00_ship_types.txt:373,monitor_tech,ship_group_capital_ships,ship_type_modern_ironclad,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=3400; ship_crew_max_add=1100; ship_movement_speed_add=4.5; ship_supply_capacity_add=60; ship_carrying_capacity_add=1.8; ship_marine_capacity_add=0.9; ship_hull_damage_add=110; ship_crew_damage_add=40; ship_armor_add=75; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=160; ship_screening_add=14; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=45; ship_detection_add=25; ship_blockade_strength_add=500; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.66; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.66; ship_battle_against_ship_type_submarine_accuracy_mult=-0.66; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.5,modification_construction_cost=125; goods_input_steel_add=2000; goods_input_iron_add=900; goods_input_engines_add=900,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_steel_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=pre_dreadnought_tech|dreadnought_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_pre_dreadnought,Pre-Dreadnought,ship_type_pre_dreadnought,ship_type_pre_dreadnought_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_pre_dreadnought.dds,common/ship_types/00_ship_types.txt:470,pre_dreadnought_tech,ship_group_capital_ships,ship_type_pre_dreadnought,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1|ship_mod_slot_utility_2,ship_construction_progress_max_add=25; ship_hit_points_max_add=3800; ship_crew_max_add=1100; ship_movement_speed_add=4.5; ship_supply_capacity_add=65; ship_carrying_capacity_add=2.5; ship_marine_capacity_add=1.25; ship_hull_damage_add=140; ship_crew_damage_add=50; ship_armor_add=90; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=180; ship_screening_add=16; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=60; ship_detection_add=30; ship_blockade_strength_add=1250; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.66; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.66; ship_battle_against_ship_type_submarine_accuracy_mult=-0.66; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.5,modification_construction_cost=200; goods_input_steel_add=3000; goods_input_iron_add=2000; goods_input_engines_add=2000,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_steel_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=dreadnought_tech|battleship_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_dreadnought,Dreadnought,ship_type_dreadnought,ship_type_dreadnought_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_dreadnought.dds,common/ship_types/00_ship_types.txt:579,dreadnought_tech,ship_group_capital_ships,ship_type_dreadnought,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1|ship_mod_slot_utility_2,ship_construction_progress_max_add=25; ship_hit_points_max_add=4200; ship_crew_max_add=1200; ship_movement_speed_add=5; ship_supply_capacity_add=70; ship_carrying_capacity_add=2.5; ship_marine_capacity_add=1.25; ship_hull_damage_add=140; ship_crew_damage_add=60; ship_armor_add=100; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=180; ship_screening_add=18; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=80; ship_detection_add=40; ship_blockade_strength_add=1500; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.66; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.66; ship_battle_against_ship_type_submarine_accuracy_mult=-0.66; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.5,modification_construction_cost=250; goods_input_steel_add=4000; goods_input_iron_add=2600; goods_input_engines_add=2600,goods_input_groceries_add=1; goods_input_coal_add=1; goods_input_steel_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=battleship_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_super_dreadnought,Super Dreadnought,ship_type_super_dreadnought,ship_type_super_dreadnought_desc,gfx/interface/icons/ships/ship_category/ship_group_capital_ships.dds|gfx/interface/icons/ships/ship_types/silhouette_super_dreadnought.dds,common/ship_types/00_ship_types.txt:684,battleship_tech,ship_group_capital_ships,ship_type_super_dreadnought,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1|ship_mod_slot_utility_2|ship_mod_slot_utility_3,ship_construction_progress_max_add=25; ship_hit_points_max_add=4800; ship_crew_max_add=1200; ship_movement_speed_add=5; ship_supply_capacity_add=75; ship_carrying_capacity_add=3; ship_marine_capacity_add=1.5; ship_hull_damage_add=170; ship_crew_damage_add=60; ship_armor_add=110; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.25; ship_vulnerability_add=200; ship_screening_add=20; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=100; ship_detection_add=50; ship_blockade_strength_add=2000; ship_battle_against_ship_type_torpedo_boat_accuracy_mult=-0.66; ship_battle_against_ship_type_torpedo_boat_destroyer_accuracy_mult=-0.66; ship_battle_against_ship_type_submarine_accuracy_mult=-0.66; ship_battle_against_ship_type_destroyer_accuracy_mult=-0.5,modification_construction_cost=300; goods_input_steel_add=5200; goods_input_iron_add=2600; goods_input_engines_add=2600,goods_input_groceries_add=1; goods_input_oil_add=1; goods_input_radios_add=0.5; goods_input_steel_add=0.1; goods_input_ammunition_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=2,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_frigate,Frigate,ship_type_frigate,ship_type_frigate_desc,gfx/interface/icons/ships/ship_category/ship_group_cruisers.dds|gfx/interface/icons/ships/ship_types/silhouette_frigate.dds,common/ship_types/00_ship_types.txt:798,NONE,ship_group_cruisers,ship_type_frigate,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=700; ship_crew_max_add=500; ship_movement_speed_add=3.0; ship_supply_capacity_add=9; ship_hull_damage_add=20; ship_crew_damage_add=3; ship_armor_add=5; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.1; ship_vulnerability_add=2.5; ship_screening_add=15; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=5; ship_detection_add=15; ship_blockade_strength_add=25; ship_carrying_capacity_add=0.15; ship_marine_capacity_add=0.10,modification_construction_cost=20; goods_input_hardwood_add=358; goods_input_fabric_add=215,goods_input_grain_add=1; goods_input_hardwood_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=1.5,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=ironclad_tech|monitor_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
SHIP_TYPE,ship_type_iron_frigate,Iron Frigate,ship_type_iron_frigate,ship_type_iron_frigate_desc,gfx/interface/icons/ships/ship_category/ship_group_cruisers.dds|gfx/interface/icons/ships/ship_types/silhouette_iron_frigate.dds,common/ship_types/00_ship_types.txt:883,ironclad_tech,ship_group_cruisers,ship_type_iron_frigate,ship_mod_slot_armor|ship_mod_slot_guns|ship_mod_slot_propulsion|ship_mod_slot_range|ship_mod_slot_utility_1,ship_construction_progress_max_add=25; ship_hit_points_max_add=1200; ship_crew_max_add=600; ship_movement_speed_add=4.5; ship_supply_capacity_add=20; ship_hull_damage_add=30; ship_crew_damage_add=10; ship_armor_add=17; ship_critical_hit_chance_add=0.05; ship_critical_hit_multiplier_add=0.1; ship_vulnerability_add=4.5; ship_screening_add=25; ship_readiness_gain_add=10; ship_accuracy_add=5; ship_visibility_add=10; ship_detection_add=20; ship_blockade_strength_add=75; ship_carrying_capacity_add=0.15; ship_marine_capacity_add=0.10,modification_construction_cost=25; goods_input_hardwood_add=390; goods_input_iron_add=650; goods_input_fabric_add=390,goods_input_grain_add=1; goods_input_coal_add=1; goods_input_iron_add=0.1; scaled by SHIP_UPKEEP_GOODS_TO_CONSTRUCTION_GOODS_FACTOR and docked multiplier,ai_weight=1.5,BASE_GAME_FREE_1_13 data; custom authoring/selection UI requires DLC feature ship_designer,can_be_flagship=yes; obsolete gates=sea_lane_strategies|pre_dreadnought_tech; ship type is the vanilla hull/class/base-stat object; no separate hull object family exists
