consumer_type,consumer_id,consumption_role,input_amount,condition,technology,pm,wealth_pop_condition,military_condition,source_file,classification,static_pressure,confidence
POP_NEED,popneed_basic_food,Direct substitute in aggregate basic-food need,ENGINE_COMPUTED,Need active by wealth package,ENGINE,NA,Engine wealth and substitution formula,NA,common/pop_needs/lagab_pop_needs.txt,POP_BASIC_FOOD,"weight=1; max_share=0.20; min_share=0",HIGH
POP_NEED,popneed_luxury_food,Direct substitute in aggregate luxury-food need,ENGINE_COMPUTED,Need active by wealth package,ENGINE,NA,Engine wealth and substitution formula,NA,common/pop_needs/lagab_pop_needs.txt,POP_LUXURY_FOOD,"weight=0.5; max_share=0.15; min_share=0.05",HIGH
PRODUCTION_METHOD,pm_cannery,Food preservation input,10,PM active,NONE,pm_cannery,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,10 per employed building level,HIGH
PRODUCTION_METHOD,pm_cannery_fish,Food preservation input,10,PM active,NONE,pm_cannery_fish,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,10 per employed building level,HIGH
PRODUCTION_METHOD,pm_vacuum_canning,Food preservation input,15,PM active,PM native gate,pm_vacuum_canning,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,15 per employed building level,HIGH
PRODUCTION_METHOD,pm_vacuum_canning_principle_3,Food preservation input,15,PM active and principle content available,PM native gate,pm_vacuum_canning_principle_3,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,15 per employed building level,HIGH
PRODUCTION_METHOD,pm_sweeteners,Processed-food input,10,PM active,PM native gate,pm_sweeteners,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,10 per employed building level,HIGH
PRODUCTION_METHOD,pm_baking_powder,Processed-food input,30,PM active,PM native gate,pm_baking_powder,NA,NA,common/production_methods/lagab_pms.txt,FOOD_INDUSTRY,30 per employed building level,HIGH
PRODUCTION_METHOD,pm_dye_production,Chemical production input,10,PM active,PM native gate,pm_dye_production,NA,NA,common/production_methods/lagab_pms.txt,CHEMICAL_INDUSTRY,10 per employed building level,HIGH
PRODUCTION_METHOD,pm_artificial_fertilizers,Fertilizer input,5,PM active,PM native gate,pm_artificial_fertilizers,NA,NA,common/production_methods/lagab_pms.txt,CHEMICAL_INDUSTRY,5 per employed building level,HIGH
PRODUCTION_METHOD,pm_improved_fertilizer,Fertilizer input,10,PM active,improved_fertilizer,pm_improved_fertilizer,NA,NA,common/production_methods/lagab_pms.txt,CHEMICAL_INDUSTRY,10 per employed building level,HIGH
PRODUCTION_METHOD,pm_nitrogen_fixation,Fertilizer input,20,PM active,nitrogen_fixation,pm_nitrogen_fixation,NA,NA,common/production_methods/lagab_pms.txt,CHEMICAL_INDUSTRY,20 per employed building level,HIGH
MOBILIZATION_OPTION,mobilization_option_extra_supplies,Army upkeep input,0.5,Option selected,NONE,NA,NA,Formation mobilized with option,common/mobilization_options/lagab_mobilization_option.txt,MILITARY,0.5 per engine-scaled formation upkeep,HIGH
MOBILIZATION_OPTION,mobilization_option_luxurious_supplies,Army upkeep input,1,Option selected,NONE,NA,NA,Formation mobilized with option,common/mobilization_options/lagab_mobilization_option.txt,MILITARY,1 per engine-scaled formation upkeep,HIGH
