state_region,country_at_1836_if_relevant,solar_salt_potential,rock_salt_potential,starting_buildings,maximum_output_estimate,notes
STATE_ACRE,BOL,0,15,NONE,current_pm=300|max_tech=1125,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ALBERTA,BLF|HBC|IRC,0,30,NONE,current_pm=600|max_tech=2250,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ALENTEJO,POR,20,0,NONE,current_pm=200|max_tech=200,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ALSACE_LORRAINE,FRA,0,15,mine:2:FRA:lagab_europe.txt,current_pm=300|max_tech=1125,Potential is a level ceiling; current/max assume full employment and inputs
STATE_AL_RIF,MOR|SPA,25,0,NONE,current_pm=250|max_tech=250,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ANHALT,ANH|PRU,0,20,mine:2:PRU:lagab_europe.txt,current_pm=400|max_tech=1500,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ANKARA,TUR,0,10,mine:5:TUR:lagab_asia.txt,current_pm=200|max_tech=750,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ANNAM,DAI,25,0,NONE,current_pm=250|max_tech=250,Potential is a level ceiling; current/max assume full employment and inputs
STATE_APULIA,SIC,35,0,pan:2:SIC:lagab_europe.txt,current_pm=350|max_tech=350,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ARAGON,SPA|SPC,0,10,NONE,current_pm=200|max_tech=750,Potential is a level ceiling; current/max assume full employment and inputs
STATE_ATTICA,GRE,20,0,pan:2:GRE:lagab_europe.txt,current_pm=200|max_tech=200,Potential is a level ceiling; current/max assume full employment and inputs
STATE_AYDIN,TUR,30,0,NONE,current_pm=300|max_tech=300,Potential is a level ceiling; current/max assume full employment and inputs
STATE_BAHIA,BRZ,35,0,NONE,current_pm=350|max_tech=350,Potential is a level ceiling; current/max assume full employment and inputs
STATE_BAJA_CALIFORNIA,MEX,55,0,NONE,current_pm=550|max_tech=550,Potential is a level ceiling; current/max assume full employment and inputs
STATE_BALUCHISTAN,KAL|KAN|MAK|OMA,35,0,NONE,current_pm=350|max_tech=350,Potential is a level ceiling; current/max assume full employment and inputs
