layer,object_or_relation,object_type,source_file,key_mechanics,technology_or_condition,ai_behavior,classification,verdict,notes
GOOD,salt,good,common/goods/lagab_goods.txt,"staple; cost 30; prestige factor 5; traded quantity 10; convoy multiplier 0.5; default tradeable",NONE,Vanilla market AI only,MOD_SPECIFIC,REIMPLEMENT_DIFFERENTLY,One good is shared by both extraction systems
RESOURCE_MAP,building_salt_pan potential,change_resource_potential,common/history/states/lagab_states.txt,"2526 levels across 97 solar states",State list plus building coastal potential,No custom resource strategy,ARCHITECTURE_REUSABLE,REUSE_IDEA,Static global history injection
RESOURCE_MAP,building_salt_mine potential,change_resource_potential,common/history/states/lagab_states.txt,"1209 levels across 64 rock states",State list,No custom resource strategy,ARCHITECTURE_REUSABLE,REUSE_IDEA,Two states contain both types
BUILDING,building_salt_pan,building,common/buildings/09_lagab_misc_resource.txt,"bg_mining; port city type; coastal-only; self ownership; construction medium",No explicit tech,Vanilla profitability/construction AI,MOD_SPECIFIC,NEEDS_REBALANCE,Output does not improve with technology
PM,default_building_salt_pan,production_method,common/production_methods/lagab_pms.txt,"salt +10; 500 shopkeepers; 2000 laborers; no inputs",NONE,Vanilla PM AI,MOD_SPECIFIC,NEEDS_REBALANCE,Only solar PM
BUILDING,building_salt_mine,building,common/buildings/04_lagab_buildings.txt,"bg_mining; mine city type; self ownership; construction medium",shaft_mining,Vanilla profitability/construction AI,ARCHITECTURE_REUSABLE,REUSE_IDEA,Four equipment tiers plus explosives and vanilla automation
PM,pm_picks_and_shovels_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"tools 2 -> salt 20; 500 shopkeepers; 4500 laborers",base,Vanilla PM AI,MOD_SPECIFIC,REUSE_IDEA,Current starting mine PM
PM,pm_atmospheric_engine_pump_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"tools 5 + coal 10 -> salt 35; pollution 5",atmospheric_engine,Vanilla PM AI,PATTERN_REIMPLEMENT_LOCALLY,REUSE_IDEA,Industrial progression
PM,pm_condensing_engine_pump_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"tools 10 + coal 15 -> salt 45; pollution 15",watertube_boiler,Vanilla PM AI,PATTERN_REIMPLEMENT_LOCALLY,REUSE_IDEA,Gate name is boiler rather than mining-specific
PM,pm_diesel_pump_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"tools 10 + oil 5 -> salt 55; pollution 10",compression_ignition,Vanilla PM AI,PATTERN_REIMPLEMENT_LOCALLY,REUSE_IDEA,Late mine tier
PM,pm_nitroglycerin_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"explosives 5 -> salt +15; pollution 5; elevated mortality",nitroglycerin,Vanilla PM AI,PATTERN_REIMPLEMENT_LOCALLY,NEEDS_REBALANCE,Strong mortality multipliers
PM,pm_dynamite_building_salt_mine,production_method,common/production_methods/lagab_pms.txt,"explosives 10 -> salt +20; pollution 10",dynamite,Vanilla PM AI,PATTERN_REIMPLEMENT_LOCALLY,REUSE_IDEA,No explicit mortality penalty
POP_NEED,salt -> popneed_basic_food,need relation,common/pop_needs/lagab_pop_needs.txt,"weight 1; max 0.20; min 0",Engine wealth package,Reactive market demand,MOD_SPECIFIC,REIMPLEMENT_DIFFERENTLY,Substitutable but directly affects food security aggregate
POP_NEED,salt -> popneed_luxury_food,need relation,common/pop_needs/lagab_pop_needs.txt,"weight 0.5; max 0.15; min 0.05",Engine wealth package,Reactive market demand,MOD_SPECIFIC,AVOID,Mandatory five-percent share increases startup fragility
INDUSTRY,salt -> six food PMs,input relations,common/production_methods/lagab_pms.txt,"10/10/15/15/10/30 per level",Native PM gates,Vanilla PM AI,ARCHITECTURE_REUSABLE,NEEDS_REBALANCE,Secondary demand can compound POP demand
INDUSTRY,salt -> four chemical PMs,input relations,common/production_methods/lagab_pms.txt,"10/5/10/20 per level",Native PM gates,Vanilla PM AI,ARCHITECTURE_REUSABLE,REUSE_IDEA,Dye and fertilizer chain
MILITARY,salt -> extra/luxurious supplies,upkeep relations,common/mobilization_options/lagab_mobilization_option.txt,"0.5 and 1 upkeep",Option selected,Vanilla mobilization AI; shortage multiplier is vanilla define,ARCHITECTURE_REUSABLE,REUSE_IDEA,Only conditional mobilization demand
TRADE,default tradability,good behavior,common/goods/lagab_goods.txt,"No tradeable=no; convoy multiplier 0.5",Market access,Vanilla trade AI only,MOD_SPECIFIC,NEEDS_RUNTIME_TEST,Most countries receive import subsidy tariff; CHI is excluded
TAX,starting salt consumption taxes,history effect,common/history/global/lagab_global.txt,"FRA BIC SPA AUS RUS SIC PAP PRU",game start,Tax AI may later react,MOD_SPECIFIC,REIMPLEMENT_DIFFERENTLY,Tax directly raises consumer cost
JOURNAL_ENTRY,je_gabelle,journal_entry,common/journal_entries/lagab_fra.txt,"France-only; active while tax exists; never completes; deactivatable",FRA and salt tax,None,MOD_SPECIFIC,REUSE_IDEA,Applies gabelle_income
