relation_type,producer,output,consumer,technology,ai_bootstrap,source_file,notes
DEMAND_EDGE,,advancedores,pm_advanced_alloying_techniques,silicon,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_advanced_ammonia_synthesis,controlled_environment_agriculture,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_advanced_composite_paper,laser,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_alkaline_fuel_cell,fuel_cell_tech,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_catalytic_cracking,enhanced_cracking_distillation,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_electronic_grade_wires,optic_fibers,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_embedded_control_circuit,embedded_control_systems,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_hall_heroult_process,bayer_process,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_hydrogen_bomb,hydrogen_bomb,STRATEGY_STANCE,common/production_methods/ztr_military_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_integrated_circuit,integrated_circuits,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_lithium_battery,lithium_battery,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_microprocessor,micro_processors,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_multi_core_processor,parallel_computing_architecture,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_pem_fuel_cell,electric_vehicles,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_printed_circuit_board,integrated_circuits,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_quartz_glass,quartz_glass,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_rudimental_photovoltaic_cells,photovoltaic_effect,STRATEGY_STANCE,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_solar_panels,advanced_solar_panels,STRATEGY_STANCE,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_third_gen_tank_production,main_battle_tank,STRATEGY_STANCE,common/production_methods/ztr_military_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_transistor,semiconductor,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,advancedores,pm_vacuum_arc_remelting,advanced_electric_arc_processes,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
SUPPLY_EDGE,pm_advanced_base,advancedores,,neoliberism,STRATEGY_STANCE,common/production_methods/ztr_unique_buildings_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_autonomous_and_remote_ops_building_advancedores_mine,advancedores,,autonomous_and_remote_ops_mining,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_diesel_pump_building_advancedores_mine,advancedores,,silicon,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_dynamite_building_advancedores_mine,advancedores,,dynamite,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_electric_fueled_pump_building_advancedores_mine,advancedores,,integrated_circuits,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_heavy_machineries_building_advancedores_mine,advancedores,,micro_processors,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_high_precision_blasting_building_advancedores_mine,advancedores,,mine_precision_blasting,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_nitroglycerin_building_advancedores_mine,advancedores,,nitroglycerin,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_picks_and_shovels_building_advancedores_mine,advancedores,,quartz_glass,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_postwar_base,advancedores,,neoimperialism,STRATEGY_STANCE,common/production_methods/ztr_unique_buildings_production_methods.txt,Negative output values are coproduct trade-offs where applicable
DEMAND_EDGE,,ai_systems,pm_ai_assisted_art,artificial_intelligence,DOWNSTREAM_PM,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_autonomous_agricultural_vehicles,precision_agriculture,DOWNSTREAM_PM,common/production_methods/ztr_agriculture_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_autonomous_agricultural_vehicles_building_rice_farm,precision_agriculture,DOWNSTREAM_PM,common/production_methods/ztr_agriculture_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_autonomous_city_transport,autonomous_road_vehicles,DOWNSTREAM_PM,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_autonomous_truck_van_transportation,autonomous_road_vehicles,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_cloud_databased_data_analysis,cloud_computing,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_cobots,cobots,DOWNSTREAM_PM,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_computerized_research_center,machine_learning,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_fusion_plasma_control,nuclear_fusion_reactor,DOWNSTREAM_PM,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_algorithmic_dispatch_heavy_industry,algorithmic_dispatch,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_algorithmic_dispatch_heavy_industry_no_shopkeepers,algorithmic_dispatch,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_heavy_industry,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_heavy_industry_no_shopkeepers,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_heavy_industry_software,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_heavy_industry_telecommunications,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_light_industry,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_internet_data_optimization_light_industry_no_shopkeepers,big_data_analytics,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_predictive_fulfilment_network,algorithmic_dispatch,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_research_center_advanced,machine_learning,DOWNSTREAM_PM,common/production_methods/ztr_unique_buildings_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_smart_grid_energy_management,smart_energy_grid,DOWNSTREAM_PM,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_smart_grid_energy_management_power_plant,smart_energy_grid,DOWNSTREAM_PM,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_smart_grid_hydro,smart_energy_grid,DOWNSTREAM_PM,common/production_methods/ztr_energy_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_vibe_coding_building_software_industry,agentic_ai,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,ai_systems,pm_virtual_reality_gadgets,virtual_reality,DOWNSTREAM_PM,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
SUPPLY_EDGE,pm_artificial_general_intelligence,ai_systems,,artificial_general_intelligence,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_generative_ai_models,ai_systems,,artificial_intelligence,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,Negative output values are coproduct trade-offs where applicable
SUPPLY_EDGE,pm_neural_model_training,ai_systems,,machine_learning,DOWNSTREAM_PM,common/production_methods/ztr_data_production_methods.txt,Negative output values are coproduct trade-offs where applicable
DEMAND_EDGE,,alloys,manzoni_pm_electric_telegraph,electric_telegraph,STRATEGY_STANCE,common/production_methods/ztr_modified_mr_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,alloys,pm_3d_printed_tools,additive_manufacturing,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
DEMAND_EDGE,,alloys,pm_alkaline_battery,alkaline_battery,STRATEGY_STANCE,common/production_methods/ztr_new_production_methods.txt,PM activation creates or expands demand
