calling_mod,calling_file,line,calling_object,external_symbol,symbol_type,dependency,context,purpose,criticality
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,11,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=coal,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,12,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=iron,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,13,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=oil,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,14,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=lead,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,15,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=wood,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,16,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=hardwood,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,17,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=sulfur,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,18,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=rubber,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,20,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=good_uranium,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,21,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=bauxite,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,22,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=copper,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,23,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=commonores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,24,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=advancedores,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,25,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=rare_earths,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,26,ai_strategy_resource_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=gas,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,83,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=tools,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,84,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=fertilizer,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,85,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=explosives,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
Tech & Res,common/ai_strategies/ztr_admin_strategies.txt,90,ai_strategy_industrial_expansion,kai_has_high_supply,SCRIPTED_TRIGGER,Kuromi's AI,GOODS=engines,Permit wants_export only when market supply is high,REQUIRED_FOR_AI
