object_type,object_id,definition_mode,source_file,category_or_group,base_price,tradeable,role,technology_gates,pop_consumption,producer_relations,consumer_relations,ai_hooks,dead_chain_risk,notes
GOOD,advancedores,CREATE,common/goods/ztr_new_goods.txt,industrial,80,YES_DEFAULT,PRIMARY_GOOD,advanced_electric_arc_processes|advanced_solar_panels|autonomous_and_remote_ops_mining|bayer_process|controlled_environment_agriculture|dynamite|electric_vehicles|embedded_control_systems|enhanced_cracking_distillation|fuel_cell_tech|hydrogen_bomb|integrated_circuits|laser|lithium_battery|main_battle_tank|micro_processors|mine_precision_blasting|neoimperialism|neoliberism|nitroglycerin|optic_fibers|parallel_computing_architecture|photovoltaic_effect|quartz_glass|semiconductor|silicon,NO,10,21,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,ai_systems,CREATE,common/goods/ztr_new_goods.txt,industrial,30,YES_DEFAULT,INTERMEDIATE_GOOD,agentic_ai|algorithmic_dispatch|artificial_general_intelligence|artificial_intelligence|autonomous_road_vehicles|big_data_analytics|cloud_computing|cobots|machine_learning|nuclear_fusion_reactor|precision_agriculture|smart_energy_grid|virtual_reality,NO,3,24,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,alloys,CREATE,common/goods/ztr_new_goods.txt,industrial,50,YES_DEFAULT,CONSTRUCTION_GOOD,additive_manufacturing|advanced_electric_arc_processes|alkaline_battery|alloysworking|arc_welding|assault_rifles|astronautics|automatic_machine_guns|basic_home_appliances|bauxite_processing|bayer_process|blitzkrieg|bolt_action_rifles|breech_loading_artillery|coal_gasification|combustion_engine|compression_ignition|computer|electric_arc_process|electric_railway|electric_telegraph|electric_vehicles|electrical_capacitors|electrical_generation|elevator|embedded_control_systems|fast_modular_furniture|gantry_cranes|global_music|guided_missiles|hdpe|hydrogen_bomb|integrated_circuits|lithium_battery|main_battle_tank|mechanical_tools|mechanized_workshops|modern_tools|nuclear_fusion_reactor|personal_computer|prefabricated_concrete_buildings|repeaters|rock_and_roll|rocket_artillery|rocketery|satellites|semi_automatic_rifle|semiconductor|shell_gun|silicon|supermarket|thermal_cracking|urban_sustainability|verrier_electromagnetism_tech|vulcanization|wind_turbines,NO,6,55,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,aluminium,CREATE,common/goods/ztr_new_goods.txt,industrial,50,YES_DEFAULT,CONSTRUCTION_GOOD,advanced_electric_arc_processes|assault_rifles|astronautics|basic_home_appliances|bauxite_processing|bayer_process|bullet_train_tech|electric_vehicles|guided_missiles|hdpe|hybrid_vehicles|jet_aviation|modern_transport|modular_shipbuilding|prefabricated_concrete_buildings|satellites|semi_automatic_rifle|smart_appliances|smart_vehicles|space_rocketery|supermarket|urban_sustainability|vikelas_streamliners_tech|zeppelins,NO,4,24,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,androids,CREATE,common/goods/ztr_new_goods.txt,industrial,100,YES_DEFAULT,INTERMEDIATE_GOOD,NONE,NO,0,0,ENGINE_DEFAULT,HIGH,No explicit tradeable=no; no PM producer or consumer found
GOOD,batteries,CREATE,common/goods/ztr_new_goods.txt,industrial,60,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_personal_computer|advanced_solar_panels|alkaline_battery|compression_ignition|computer|electric_railway|electric_vehicles|fuel_cell_tech|geothermal_energy|lithium_battery|mobile_devices|mobile_phone|oil_turbine|personal_computer|photovoltaic_effect|pneumatic_tools|rudimental_home_appliances|smartphones|thermal_cracking|verrier_electromagnetism_tech|virtual_reality|wind_turbines,YES,6,30,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,bauxite,CREATE,common/goods/ztr_new_goods.txt,industrial,30,YES_DEFAULT,PRIMARY_GOOD,atmospheric_engine|autonomous_and_remote_ops_mining|bauxite_processing|bayer_process|compression_ignition|dynamite|heavy_machinery|mine_precision_blasting|neoimperialism|neoliberism|nitroglycerin|thermal_cracking|watertube_boiler,NO,13,2,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,business_data,CREATE,common/goods/ztr_new_goods.txt,luxury,30,YES_DEFAULT,KNOWLEDGE_RESEARCH_GOOD,algorithmic_dispatch|analytical_philosophy|big_data_analytics|cloud_computing|computer|corporate_management|dialectics|digital_infrastructure|funded_research_projects|globalization|internet|machine_learning|market_studies|modern_statistics|multinational_corporations,NO,11,32,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,civil_planes,CREATE,common/goods/ztr_new_goods.txt,industrial,90,YES_DEFAULT,FINAL_GOOD,combustion_engine|international_travel|jet_aviation|military_aviation|modern_warplanes|socialdemocracy|supersonic_aviation|zeppelins,YES,5,4,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,commonores,CREATE,common/goods/ztr_new_goods.txt,industrial,40,YES_DEFAULT,PRIMARY_GOOD,advanced_electric_arc_processes|agassiz_geology_tech|alkaline_battery|alloysworking|artillery|atmospheric_engine|autonomous_and_remote_ops_mining|compression_ignition|controlled_environment_agriculture|dynamite|elastomers|electric_arc_process|electric_railway|elgar_classicism_tech|euv_photolithography|fuel_cell_tech|heavy_machinery|improved_fertilizer|lathe|mechanical_tools|mine_precision_blasting|natural_gas_extraction|neoimperialism|neoliberism|nitrogen_fixation|nitroglycerin|rifling|screw_frigate|selective_mineral_extraction|silicon|steelworking|thermal_cracking|verrier_electromagnetism_tech|vulcanization|watertube_boiler,NO,15,25,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,computer,CREATE,common/goods/ztr_new_goods.txt,industrial,140,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_personal_computer|agentic_ai|algorithmic_dispatch|app_economy|artificial_intelligence|astronautics|big_data_analytics|cloud_computing|cnc_control|cobots|computer|data_processing|digital_governance|digital_infrastructure|e_commerce|electronic_warfare|freight_village|global_music|globalization|guided_missiles|interactive_media|internet|iot_driven_manufacturing|machine_learning|mobile_devices|modern_statistics|network_centric_warfare|networking_protocols|nuclear_fusion_reactor|operating_systems|personal_computer|software_development_paradigms|supersonic_aviation|third_nuclear_reactor|user_interface|videogames,YES,6,46,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,copper,CREATE,common/goods/ztr_new_goods.txt,industrial,30,YES_DEFAULT,PRIMARY_GOOD,advanced_electric_arc_processes|advanced_wire|agassiz_geology_tech|alloysworking|atmospheric_engine|autonomous_and_remote_ops_mining|cabled_wire|compression_ignition|dynamite|electric_arc_process|elgar_classicism_tech|heavy_machinery|mine_precision_blasting|neoimperialism|neoliberism|nitroglycerin|optic_fibers|polyester_synthesis|rotary_valve_engine|silicon|thermal_cracking|verrier_electromagnetism_tech|watertube_boiler,NO,14,13,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,copperwires,CREATE,common/goods/ztr_new_goods.txt,industrial,50,YES_DEFAULT,INTERMEDIATE_GOOD,additive_manufacturing|advanced_wire|basic_home_appliances|cabled_wire|combustion_engine|compression_ignition|computer|electric_arc_process|electric_railway|electrical_capacitors|electrical_generation|embedded_control_systems|geothermal_energy|government_broadcasting|high_voltage_transmission|integrated_circuits|mass_propaganda|mechatronics|mine_precision_blasting|modern_tools|modern_transport|nuclear_fusion_reactor|oil_turbine|optic_fibers|pneumatic_tools|rudimental_home_appliances|semiconductor|smart_energy_grid|telecommunications|telephone|tv_color|urban_sustainability|verrier_electromagnetism_tech|wireless_broadband_networks,YES,8,53,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,cosmetics,CREATE,common/goods/ztr_new_goods.txt,luxury,70,YES_DEFAULT,FINAL_GOOD,automatic_bottle_blowers|distillation|iot_driven_manufacturing|modern_cosmetics|synthetic_cosmetics,YES,4,2,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,electroniccomponents,CREATE,common/goods/ztr_new_goods.txt,industrial,80,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_electric_arc_processes|advanced_water_filtration|arc_welding|assault_rifles|atomic_bomb|automated_industrial_robots|basic_home_appliances|bayer_process|biorefining|bullet_train_tech|cannon_launched_guided_projectiles|cnc_control|combustion_engine|computer|electrical_capacitors|embedded_control_systems|enhanced_cracking_distillation|funded_research_projects|gas_turbine|genetic_engineering|geothermal_energy|global_music|government_broadcasting|guided_missiles|hdpe|heavy_machinery|high_voltage_transmission|horizontal_drilling|hybrid_vehicles|integrated_circuits|jet_aviation|machine_learning|market_studies|mass_propaganda|mechanical_arms|mechatronics|mendelejew_synthetic_fuel_tech|micro_processors|nuclear_fusion_reactor|oil_turbine|oxygen_steelmaking_process|parallel_computing_architecture|polyethylene|precision_ammunition|proto_digital_devices|rock_and_roll|secure_market_transactions|semiconductor|social_media|software_tech|space_rocketery|telecommunications|thermal_cracking|tv_color|vaccination_campaigns|vacuum_distillation|verrier_modern_physics_tech|wireless_broadband_networks|zeppelins,NO,4,93,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,elgar_instruments,REPLACE_OR_CREATE,common/goods/ztr_mr_goods.txt,luxury,40,YES_DEFAULT,FINAL_GOOD,elgar_classicism_tech|elgar_irrationalism_tech|elgar_modern_art_tech|global_music|interactive_media|jazz_blues|mechanical_tools|rock_and_roll|romanticism|silent_cinema,YES,5,9,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,elgar_music,REPLACE_OR_CREATE,common/goods/ztr_mr_goods.txt,luxury,80,YES_DEFAULT,FINAL_GOOD,advanced_personal_computer|elgar_classicism_tech|elgar_irrationalism_tech|elgar_mass_culture_tech|elgar_modern_art_tech|global_music|government_broadcasting|interactive_media|jazz_blues|mass_entertainment|mass_propaganda|rock_and_roll|romanticism|silent_cinema|social_media|tv_color,YES,20,0,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,gas,CREATE,common/goods/ztr_new_goods.txt,industrial,30,YES_DEFAULT,PRIMARY_GOOD,advanced_electric_arc_processes|basic_home_appliances|controlled_environment_agriculture|direct_reduced_iron|electric_vehicles|fuel_cell_tech|gas_turbine|horizontal_drilling|hydraulic_fracturing|mechanical_arms|natural_gas_extraction|neoimperialism|neoliberism,YES,6,9,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,global_electricity,CREATE,common/goods/ztr_new_goods.txt,staple,30,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_solar_panels|embedded_control_systems|geothermal_energy|high_voltage_transmission|nuclear_fusion_reactor|oil_turbine|photovoltaic_effect|pneumatic_tools|second_nuclear_reactor|third_nuclear_reactor|vacuum_distillation|wind_turbines,NO,22,3,STRATEGY_STANCE,MEDIUM,No explicit tradeable=no
GOOD,good_uranium,REPLACE_OR_CREATE,common/goods/ztr_mr_goods.txt,industrial,40,YES_DEFAULT,PRIMARY_GOOD,atmospheric_engine|atomic_bomb|autonomous_and_remote_ops_mining|compression_ignition|dynamite|heavy_machinery|mine_precision_blasting|nitroglycerin|thermal_cracking|verrier_nuclear_physics_tech|watertube_boiler,NO,10,5,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,heavy_fuel,CREATE,common/goods/ztr_new_goods.txt,industrial,70,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_harbor_facilities|biorefining|concrete_dockyards|freight_village|highway_systems|mendelejew_synthetic_fuel_tech|modern_city_transport|natural_gas_extraction|naval_oil_propulsion|oil_distillation|polyester_synthesis|thermal_cracking|vacuum_distillation,NO,5,10,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,homeappliances,CREATE,common/goods/ztr_new_goods.txt,luxury,140,YES_DEFAULT,FINAL_GOOD,basic_home_appliances|cathode_tube|high_definition_television|iot_driven_manufacturing|rudimental_home_appliances|smart_appliances|tv_color,YES,7,3,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,interactive_entertainment,CREATE,common/goods/ztr_new_goods.txt,luxury,80,YES_DEFAULT,FINAL_GOOD,app_economy|interactive_media|videogames,YES,4,1,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,light_fuel,CREATE,common/goods/ztr_new_goods.txt,industrial,70,YES_DEFAULT,INTERMEDIATE_GOOD,advanced_solar_panels|astronautics|autonomous_and_remote_ops_mining|biorefining|combustion_engine|compression_ignition|curtiss_modern_aviation_tech|elastomers|enhanced_cracking_distillation|gas_turbine|green_revolution|guided_missiles|heavy_machinery|horizontal_drilling|hybrid_vehicles|hydraulic_fracturing|icbms|integrated_circuits|mendelejew_synthetic_fuel_tech|mendelejew_synthetic_rubber_tech|micro_processors|military_aviation|modern_transport|modern_warplanes|neoimperialism|neoliberism|oil_distillation|polyethylene|precision_agriculture|rocketery|satellites|silicon|smart_vehicles|space_rocketery|supersonic_aviation|thermal_cracking|vikelas_streamliners_tech,NO,7,88,STRATEGY_STANCE,LOW,No explicit tradeable=no
GOOD,lubricant,CREATE,common/goods/ztr_new_goods.txt,industrial,70,YES_DEFAULT,INTERMEDIATE_GOOD,assault_rifles|automated_industrial_robots|bolt_action_rifles|conveyors|enhanced_cracking_distillation|iot_driven_manufacturing|mechanical_arms|modern_cosmetics|naval_oil_propulsion|oil_distillation|rocket_artillery|semi_automatic_rifle|synthetic_cosmetics|thermal_cracking|vacuum_distillation,NO,6,58,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,manzoni_prints,REPLACE_OR_CREATE,common/goods/ztr_mr_goods.txt,staple,60,YES_DEFAULT,FINAL_GOOD,advanced_personal_computer|analytical_philosophy|cathode_tube|dialectics|funded_research_projects|global_music|government_broadcasting|high_definition_television|iot_driven_manufacturing|lathe|machine_learning|manzoni_linotype_tech|manzoni_rotary_press_tech|mass_entertainment|mass_propaganda|mobile_phone|offset_printing|pop_art|proto_digital_devices|radio|silent_cinema|smart_appliances|social_media|tv_color|user_interface|verrier_modern_physics_tech,YES,12,23,ENGINE_DEFAULT,LOW,No explicit tradeable=no
GOOD,on_demand_goods,CREATE,common/goods/ztr_new_goods.txt,staple,70,YES_DEFAULT,FINAL_GOOD,algorithmic_dispatch|e_commerce|freight_village|on_demand_delivery,YES,4,2,STRATEGY_STANCE,MEDIUM,No explicit tradeable=no
GOOD,organized_data,CREATE,common/goods/ztr_new_goods.txt,luxury,10,YES_DEFAULT,KNOWLEDGE_RESEARCH_GOOD,artificial_general_intelligence|artificial_intelligence|cloud_computing|computer|corporate_management|data_processing|digital_infrastructure|electric_telegraph|funded_research_projects|global_music|globalization|machine_learning|market_studies|mass_propaganda|modern_statistics|multinational_corporations|networking_protocols|telephone|verrier_modern_physics_tech,NO,25,8,STRATEGY_STANCE,MEDIUM,No explicit tradeable=no
