"path_or_pattern","classification","ship_to_workshop","reason"
"descriptor.mod","REQUIRED_RUNTIME","YES","Primary in-mod descriptor; exact 1.13 compatibility declaration."
"thumbnail.png","REQUIRED_RUNTIME","YES","Primary Workshop thumbnail with visible FORK identification."
"common/","REQUIRED_RUNTIME","YES","Gameplay definitions, histories, flags, laws, objectives and journals."
"events/","REQUIRED_RUNTIME","YES","Event scripts required by the total conversion and replace paths."
"gfx/","REQUIRED_RUNTIME","YES","Runtime coats of arms, loading screen, objective and frontend textures."
"gui/","REQUIRED_RUNTIME","YES","Custom frontend and objective presentation."
"localization/","REQUIRED_RUNTIME","YES","English and French localization used by gameplay and frontend."
"map_data/","REQUIRED_RUNTIME","YES","1776 map setup data."
"music/","REQUIRED_RUNTIME","YES","Custom frontend music asset and definitions."
".metadata/","DEVELOPMENT_ONLY","NO","Ignored local Paradox Launcher metadata/cache; launcher may consult it locally, but it is not Workshop payload content."
"docs/","DOCUMENTATION","NO","Repository QA, research and publication material; the public description carries the necessary player-facing credits."
"docs/research/technology/","SHOULD_NOT_SHIP","NO","Seven protected, untracked future-research files; excluded from PREP2 and publication."
"workshop_assets/","SOURCE_ASSET","NO","Source art, deterministic build scripts, backups and QA previews; retain in Git, exclude from player payload."
"tools/","DEVELOPMENT_ONLY","NO","Reproducible packaging tools retained in Git; never part of the player payload."
".git/","DEVELOPMENT_ONLY","NO","Repository history and metadata."
".gitignore","DEVELOPMENT_ONLY","NO","Git-only configuration."
".agents/","DEVELOPMENT_ONLY","NO","Empty development tooling directory."
"victoria3/","DEVELOPMENT_ONLY","NO","Empty local directory."
"Changelog.txt","DOCUMENTATION","NO","Legacy repository changelog; use the concise Workshop changelog in the publication packet."
"Source.txt","DOCUMENTATION","NO","Historical map-reference pointer retained in Git and credited in the public packet."
"*.log; *.tmp; *.bak; *.old","SHOULD_NOT_SHIP","NO","Runtime logs and temporary files."
"*.zip; *.rar; *.7z","SHOULD_NOT_SHIP","NO","Archives must not be nested in the Workshop payload."
